fdc_id,nutrient_id,amount
319877,1051,56.3
319877,1002,1.28
319877,1004,19
319877,1007,1.98
319878,1091,188
319878,1101,1.21
319878,1092,326
319878,1087,46
319878,1093,446
319878,1090,75.9
319878,1089,2.33
319878,1098,0.38
319878,1095,1.5
319882,1051,56.1
319882,1007,1.99
319882,1002,1.29
319882,1004,18.7
319883,1170,0.37
319884,1101,1.2
319884,1093,444
319884,1087,57
319884,1090,81.4
319884,1092,327
319884,1098,0.394
319884,1091,190
319884,1089,2.96
319884,1095,1.47
319892,1051,58.2
319892,1004,16.6
319892,1002,1.25
319892,1007,2.02
319893,1093,387
319893,1091,179
319893,1092,320
319893,1090,69.8
319893,1101,1.18
319893,1095,1.42
319893,1089,2.72
319893,1087,46
319893,1098,0.382
319899,1051,57.6
319899,1002,1.1
319899,1007,1.98
319899,1004,19.1
319900,1089,2.07
319900,1090,68.5
319900,1095,1.28
319900,1091,143
319900,1098,0.309
319900,1101,0.95
319900,1093,489
319900,1092,252
319900,1087,38
319906,1264,0.01
319906,1301,0.022
319906,1335,0
319906,1266,0.771
319906,1272,0
319906,1260,0
319906,1411,0
319906,1299,0.003
319906,1278,0
319906,1311,0.003
319906,1271,0.006
319906,1259,0
319906,1265,1.76
319906,1303,0
319906,1276,0
319906,1273,0.044
319906,1280,0
319906,1304,0.006
319906,1414,0
319906,1333,0
319906,1315,5.03
319906,2012,0.048
319906,1404,0.725
319906,1267,0.077
319906,1305,0
319906,1334,0
319906,1313,0.005
319906,2014,0
319906,1262,0
319906,1300,0.014
319906,1263,0
319906,1261,0
319906,1306,0.013
319906,1314,0.018
319906,1406,0
319906,2019,0
319906,1321,0.013
319906,1316,8.56
319906,2009,0
319906,1323,0.007
319906,1312,0
319906,1405,0
319907,1009,8.2
319908,1007,1.99
319908,1004,18.2
319908,1051,56.8
319908,1002,1.28
319909,1177,51
319910,1170,0.34
319911,1103,0
319912,1095,1.45
319912,1089,2.7
319912,1098,0.376
319912,1090,73.1
319912,1093,428
319912,1087,51
319912,1101,1.15
319912,1092,317
319912,1091,184
319913,1166,0.14
319914,1167,1.09
319915,1079,5.7
319916,1165,0.17
319917,1175,0.15
319918,1123,258
319918,1107,12
319918,1120,3
319918,1122,0
319918,1108,0
319919,1127,2.38
319919,1125,0.35
319919,1126,11.9
319919,1109,1.56
319919,1128,0
319919,1129,0
319919,1130,0
319919,1131,0
319920,1162,0
319926,1260,0
319926,1265,1.71
319926,1299,0.003
319926,1304,0.005
319926,1335,0
319926,2014,0
319926,2019,0
319926,1323,0.008
319926,1404,0.742
319926,1315,4.87
319926,1262,0
319926,1300,0.012
319926,1272,0
319926,1303,0
319926,1301,0.044
319926,1405,0
319926,1263,0
319926,1314,0.015
319926,2012,0.046
319926,1312,0
319926,1276,0
319926,1414,0
319926,1321,0.011
319926,1259,0
319926,2009,0
319926,1311,0.003
319926,1271,0.006
319926,1266,0.741
319926,1406,0
319926,1306,0.012
319926,1261,0
319926,1411,0
319926,1334,0
319926,1280,0
319926,1273,0.052
319926,1333,0
319926,1305,0
319926,1313,0.004
319926,1316,8.3
319926,1264,0.009
319926,1278,0
319926,1267,0.072
319927,1009,8
319928,1051,57.3
319928,1004,18
319928,1007,2.02
319928,1002,1.26
319929,1177,53
319930,1101,1.21
319930,1089,2.33
319930,1087,46
319930,1093,406
319930,1090,70.4
319930,1091,181
319930,1098,0.396
319930,1095,1.45
319930,1092,315
319931,1166,0.12
319932,1167,1.03
319933,1013,0
319933,1011,0
319933,1010,0.37
319933,1014,0
319933,1075,0
319933,1012,0.3
319934,1079,5.4
319935,1165,0.16
319936,1175,0.13
319937,1129,0
319937,1109,1.49
319937,1126,11.7
319937,1130,0
319937,1128,0
319937,1127,2.47
319937,1125,0.36
319937,1131,0
319938,1162,0
319944,1323,0.008
319944,1267,0.074
319944,1259,0
319944,1272,0
319944,1333,0
319944,1262,0
319944,1305,0
319944,1303,0
319944,1313,0.003
319944,1316,8.44
319944,1260,0
319944,1273,0.041
319944,2019,0
319944,1314,0.016
319944,1406,0
319944,1299,0.004
319944,2012,0.047
319944,1311,0.003
319944,1261,0
319944,1278,0
319944,1404,0.73
319944,1321,0.014
319944,1315,5
319944,1266,0.751
319944,1280,0
319944,1263,0
319944,1276,0
319944,1411,0
319944,1304,0.008
319944,1414,0
319944,2009,0
319944,1300,0.013
319944,1335,0
319944,1312,0
319944,1306,0.013
319944,1264,0.01
319944,1405,0
319944,1334,0
319944,1271,0.006
319944,1301,0.019
319944,1265,1.74
319944,2014,0
319945,1009,8
319946,1004,18.2
319946,1002,1.25
319946,1007,2.12
319946,1051,57.2
319947,1177,49
319948,1091,186
319948,1089,2.58
319948,1090,82
319948,1095,1.46
319948,1093,423
319948,1098,0.379
319948,1092,317
319948,1087,48
319948,1101,1.16
319949,1166,0.13
319950,1167,1.02
319951,1079,5.5
319952,1165,0.16
319953,1175,0.16
319954,1183,0
319954,1184,0
319954,1185,23.3
319955,1197,1.1
319955,1198,0.2
319955,1195,23
319955,1196,0.2
319955,1194,22.3
319955,1180,46.6
319955,1199,0
319956,1127,2.09
319956,1126,10.8
319956,1131,0
319956,1129,0
319956,1128,0
319956,1125,0.35
319956,1109,1.4
319956,1130,0
319957,1162,0
319965,1406,0
319965,1271,0.003
319965,1267,0.083
319965,1265,1.05
319965,1300,0.006
319965,2012,0.117
319965,1261,0
319965,1301,0.02
319965,2014,0.004
319965,1305,0
319965,1303,0
319965,1304,0.004
319965,2019,0
319965,1263,0
319965,1311,0.003
319965,1266,0.478
319965,1278,0
319965,1280,0
319965,1411,0
319965,1335,0
319965,1299,0.004
319965,1314,0.027
319965,1312,0.011
319965,1262,0
319965,1259,0
319965,1313,0.005
319965,1323,0.005
319965,1316,4.78
319965,1260,0
319965,1273,0.031
319965,1414,0
319965,1334,0
319965,1264,0.008
319965,1306,0.008
319965,1404,0.6
319965,1333,0
319965,1315,6.93
319965,2009,0
319965,1276,0
319965,1405,0
319965,1272,0
319965,1321,0.023
319966,1009,8.8
319967,1007,1.73
319967,1004,14.8
319967,1002,1.11
319967,1051,60.6
319968,1177,13
319969,1103,32.3
319970,1091,145
319970,1089,1.87
319970,1093,450
319970,1090,65.1
319970,1098,0.319
319970,1087,26
319970,1092,231
319970,1101,0.824
319970,1095,1.26
319971,1166,0.1
319972,1167,0.88
319973,1079,5.7
319974,1165,0.12
319975,1175,0.15
319976,1126,7.68
319976,1130,0
319976,1129,0
319976,1109,1.51
319976,1131,0
319976,1128,0
319976,1127,0.28
319976,1125,0.22
319977,1162,0
319981,1002,1.04
319981,1007,1.91
319981,1004,11.9
319981,1051,65.6
319982,1170,0.3
319983,1095,1.17
319983,1089,2.69
319983,1093,440
319983,1098,0.27
319983,1090,56.6
319983,1087,32
319983,1101,0.785
319983,1091,134
319983,1092,271
319991,1301,0.028
319991,1299,0.004
319991,1405,0
319991,1272,0
319991,1276,0
319991,1303,0
319991,1333,0
319991,1311,0
319991,1316,4.99
319991,1267,0.083
319991,1280,0
319991,1305,0
319991,1271,0.003
