Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01341","Apples","2019","2019","1000 US$","412684","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01311","Avocados","2019","2019","1000 US$","117883","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01312","Bananas","2019","2019","1000 US$","3908784","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2019","2019","1000 US$","93920","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01701","Beans, dry","2019","2019","1000 US$","2892299","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01377","Brazil nuts, in shell","2019","2019","1000 US$","23036","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01702","Broad beans and horse beans, dry","2019","2019","1000 US$","10251","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01229","Cantaloupes and other melons","2019","2019","1000 US$","147261","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01372","Cashew nuts, in shell","2019","2019","1000 US$","64221","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01359.02","Cashewapple","2019","2019","1000 US$","239194","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1800064","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01447","Castor oil seeds","2019","2019","1000 US$","7390","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2019","2019","1000 US$","403187","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","2019","2019","1000 US$","456254","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2019","2019","1000 US$","7161142","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0232","Eggs from other birds in shell, fresh, n.e.c.","2019","2019","1000 US$","59862","E","Estimated value"
