Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2019","2019","7021","Annual value","USD","379","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","377.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01312","Bananas","2019","2019","7021","Annual value","USD","280","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0115","Barley","2019","2019","7021","Annual value","USD","223.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01701","Beans, dry","2019","2019","7021","Annual value","USD","651.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01377","Brazil nuts, in shell","2019","2019","7021","Annual value","USD","1046.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01702","Broad beans and horse beans, dry","2019","2019","7021","Annual value","USD","1288.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2019","2019","7021","Annual value","USD","249.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01372","Cashew nuts, in shell","2019","2019","7021","Annual value","USD","705.9","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","2019","2019","7021","Annual value","USD","127.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01447","Castor oil seeds","2019","2019","7021","Annual value","USD","686.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2019","2019","7021","Annual value","USD","2456.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01460","Coconuts, in shell","2019","2019","7021","Annual value","USD","101.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2019","2019","7021","Annual value","USD","1486","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01315","Figs","2019","2019","7021","Annual value","USD","1003.9","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01330","Grapes","2019","2019","7021","Annual value","USD","573.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01252","Green garlic","2019","2019","7021","Annual value","USD","2419.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0142","Groundnuts, excluding shelled","2019","2019","7021","Annual value","USD","461.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2019","2019","7021","Annual value","USD","1220.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01922.01","Jute, raw or retted","2019","2019","7021","Annual value","USD","507","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01322","Lemons and limes","2019","2019","7021","Annual value","USD","263.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01441","Linseed","2019","2019","7021","Annual value","USD","339","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","USD","119.3","A","Official figure"
