,Item,USD,Per ton,Tonnes,protein,fat,carbs,weight,protein tonnes,fat tonnes,carbs tonnes
0,sugar cane,16694363,18.4,907302.3369565218,0.0,0.31769230769230766,99.6,188.0,0.0,1533.2073042677719,480677.1955365403
1,soya beans,41510463,277.8,149425.71274298057,24.041972517730475,1.2814953810623566,5.761225,129.0,27848.751001620367,1484.4058968378304,6673.450789904482
2,maize (corn),17115363,119.3,143464.90360435875,6.2,5.3758333333333335,80.8,100.0,8894.824023470243,7712.434109597653,115919.64211232188
3,raw milk of cattle,13518972,304.5,44397.28078817734,10.57277857007576,4.82355698447893,8.857622859375008,980.0,478.9822641702833,218.52327942620923,401.27996857494946
4,"cassava, fresh",1800064,127.6,14107.084639498433,0.0,0.33731182795698944,0.0,100.0,0.0,47.58486506893184,0.0
5,bananas,3908784,280.0,13959.942857142858,0.7350000000000001,0.2684999999999999,21.55,115.0,89.22224347826089,32.593431801242225,2615.9719006211185
6,rice,2921763,214.3,13633.985067662155,6.165000000000001,3.0833333333333335,66.975,133.0,631.981337910806,316.0760949270049,6865.685337644156
7,oranges,1881327,141.4,13305.0,0.91,0.139375,11.8,165.0,73.37909090909092,11.238693181818183,951.5090909090909
8,"seed cotton, unginned",7086925,588.5,12042.353440951572,7.110358333333333,20.575543333333346,21.509375000000002,127.0,674.2161271009082,1951.0075988946064,2039.555086960376
9,tomatoes,3858243,366.4,10530.139192139739,0.8333333333333334,0.4962295081967214,4.78,245.0,35.816799973264416,21.328023643096017,205.4451646466447
10,wheat,1331573,184.0,7236.809782608696,12.680000000000001,2.9914285714285715,67.88000000000001,32.1,2858.6525870242453,674.4049703953096,15303.260063659762
11,"hen eggs in shell, fresh",7106301,1220.8,5821.019823066842,19.915369555555557,6.056331640942317,13.156116103448278,980.0,118.29363363937834,35.97349646631853,78.14491084973605
12,potatoes,1935643,372.5,5196.357046979866,1.93171875,0.31156388888888886,16.83288125,100.0,100.37900339345637,16.189972096122297,874.6966110441275
13,"coffee, green",7161142,1486.0,4819.07267833109,1.0763124999999998,2.3376066265060227,8.697352500000001,129.0,40.20797024880799,87.3263273370611,324.9083240818962
14,grapes,2643471,573.2,4611.777739009071,0.9065625,0.1981277777777778,19.4002875,100.0,41.80864756520412,9.137212750348919,894.6981402287596
15,"coconuts, in shell",456254,101.1,4512.898120672602,19.955459964705888,5.404688289601555,13.466986442477877,980.0,91.89485486926384,24.88857920914702,62.015446742226345
16,"beans, dry",2892299,651.6,4438.764579496624,24.065176357733183,2.074677975848188,8.160408333333335,135.0,791.2566845633008,68.21486750412362,268.3120849202154
17,pineapples,840398,199.2,4218.86546184739,0.0,0.0,0.0,100.0,0.0,0.0,0.0
18,sorghum,277468,96.4,2878.298755186722,0.0,0.0,0.0,100.0,0.0,0.0,0.0
19,oil palm fruit,115225,63.1,1826.0697305863707,23.06811655405405,17.301014754098365,3.6832187500000004,257.0,163.90657346691236,122.92941381668182,26.17048354281389
20,watermelons,305108,171.0,1784.2573099415204,0.0,0.0,0.0,100.0,0.0,0.0,0.0
21,papayas,364981,235.0,1553.1106382978724,0.0,0.0,0.0,100.0,0.0,0.0,0.0
22,"onions and shallots, dry (excluding dehydrated)",541518,362.3,1494.6674027049405,23.27616921768705,5.083149155722304,13.286671153846154,980.0,35.50013407093979,7.7526707613727215,20.26444312664682
23,"mangoes, guavas and mangosteens",389076,293.6,1325.1907356948227,4.704276315789474,16.968529069767435,14.831234210526317,980.0,6.361289175339574,22.94544645063683,20.05532058643836
24,apples,412684,379.0,1088.8759894459104,0.18523437499999998,0.15414351851851843,14.395748958333334,100.0,2.0169726335751976,1.6784317624352576,156.75185390820144
25,unmanufactured tobacco,2128649,2210.4,963.0152913499819,0.0,0.0,0.0,100.0,0.0,0.0,0.0
26,lemons and limes,219085,263.6,831.1267071320182,4.704276315789474,16.968529069767435,14.831234210526317,980.0,3.9896425344706605,14.390813970030344,12.578198828671912
27,"tangerines, mandarins, clementines",162191,257.4,630.1126651126651,0.0,0.0,0.0,100.0,0.0,0.0,0.0
28,cantaloupes and other melons,147261,249.7,589.7517020424509,2.814628378378375,16.048064102564084,11.585768918918932,980.0,1.6938080375159492,9.657523590789312,6.972170346329557
29,sweet potatoes,161317,278.9,578.4044460380065,2.96971875,1.8671365517241372,12.348166250000002,611.0,2.811290553981066,1.7675287772132786,11.689417773185696
